Date,Open,High,Low,Close,Adj Close,Volume
31/1/2021,0.437832,0.499702,0.389498,0.492314,0.492314,24394851756
1/2/2021,0.492512,0.744821,0.360693,0.371509,0.371509,34974233953
2/2/2021,0.37052,0.404264,0.344269,0.36927,0.36927,12756138062
3/2/2021,0.369364,0.408062,0.369364,0.39349,0.39349,8672301822
4/2/2021,0.393411,0.472306,0.379181,0.446449,0.446449,13193400182
5/2/2021,0.445325,0.464705,0.425102,0.450047,0.450047,10229060640
6/2/2021,0.450157,0.452282,0.42671,0.439096,0.439096,7625571666
7/2/2021,0.439128,0.445519,0.398767,0.417958,0.417958,7495069765
8/2/2021,0.417766,0.459916,0.412719,0.447702,0.447702,8180714581
9/2/2021,0.447659,0.485191,0.44757,0.471991,0.471991,9634769935
10/2/2021,0.471919,0.534105,0.46599,0.503445,0.503445,13793347172
11/2/2021,0.503053,0.527617,0.501136,0.524787,0.524787,8979459920
12/2/2021,0.524627,0.61263,0.518265,0.608592,0.608592,13950086407
13/2/2021,0.608105,0.637035,0.549918,0.628996,0.628996,14161115005
14/2/2021,0.62845,0.632386,0.567155,0.594193,0.594193,10460949240
15/2/2021,0.593453,0.600052,0.521564,0.548915,0.548915,10563510365
16/2/2021,0.548595,0.577315,0.490038,0.520846,0.520846,10310430732
17/2/2021,0.520798,0.554361,0.497116,0.535537,0.535537,9332962077
18/2/2021,0.535098,0.558641,0.523872,0.532433,0.532433,5621706995
19/2/2021,0.53257,0.579084,0.520655,0.567019,0.567019,6896487164
20/2/2021,0.566883,0.582424,0.48244,0.517512,0.517512,7892199926
21/2/2021,0.516879,0.558367,0.508464,0.54856,0.54856,6569716153
22/2/2021,0.548324,0.639851,0.520069,0.571741,0.571741,18769236632
23/2/2021,0.570989,0.570989,0.379302,0.473563,0.473563,14359021786
24/2/2021,0.474201,0.49937,0.454759,0.471832,0.471832,8015468859
25/2/2021,0.471776,0.482517,0.429103,0.434524,0.434524,5952353924
26/2/2021,0.434941,0.45044,0.415559,0.4279,0.4279,6476253874
27/2/2021,0.427904,0.457596,0.427904,0.437809,0.437809,4756622833
28/2/2021,0.437764,0.43944,0.397699,0.414953,0.414953,4325860134
1/3/2021,0.415109,0.451348,0.413587,0.447244,0.447244,3547533777
2/3/2021,0.446496,0.454764,0.424843,0.436837,0.436837,3388591213
3/3/2021,0.436903,0.466652,0.433526,0.450279,0.450279,3304301858
4/3/2021,0.45006,0.493142,0.438003,0.486605,0.486605,6027421637
5/3/2021,0.485831,0.485831,0.449948,0.458119,0.458119,4288262516
6/3/2021,0.457864,0.470688,0.452495,0.465106,0.465106,2758849692
7/3/2021,0.465094,0.469286,0.459866,0.466867,0.466867,2364586464
8/3/2021,0.466888,0.485989,0.457319,0.473597,0.473597,3587390975
9/3/2021,0.473745,0.485988,0.472442,0.485988,0.485988,3020728025
10/3/2021,0.485903,0.487647,0.458831,0.463166,0.463166,3271277631
11/3/2021,0.463049,0.464282,0.443017,0.45296,0.45296,3186670815
12/3/2021,0.452991,0.463694,0.433015,0.441131,0.441131,3326213717
13/3/2021,0.441109,0.464824,0.435522,0.459924,0.459924,3212270555
14/3/2021,0.459631,0.462092,0.442112,0.442112,0.442112,2509435800
15/3/2021,0.442087,0.448314,0.426547,0.437555,0.437555,3116009271
16/3/2021,0.437454,0.514959,0.430078,0.4626,0.4626,7382009786
17/3/2021,0.462822,0.483312,0.457061,0.472417,0.472417,4341765347
18/3/2021,0.472383,0.490809,0.455836,0.472919,0.472919,3265976425
19/3/2021,0.472797,0.478388,0.463432,0.471171,0.471171,2626051305
20/3/2021,0.471105,0.552929,0.470161,0.526991,0.526991,6757879312
21/3/2021,0.527416,0.546377,0.499928,0.519835,0.519835,5539749484
22/3/2021,0.51981,0.602618,0.505471,0.549942,0.549942,9732075816
23/3/2021,0.550135,0.599313,0.54397,0.556595,0.556595,7610195005
24/3/2021,0.556265,0.564677,0.469285,0.488837,0.488837,5446433135
25/3/2021,0.488234,0.527368,0.471128,0.517498,0.517498,6061921454
26/3/2021,0.517389,0.574975,0.516515,0.567055,0.567055,5807865028
27/3/2021,0.567193,0.575918,0.539824,0.550443,0.550443,3684247475
28/3/2021,0.550377,0.562205,0.545478,0.550756,0.550756,2795107715
29/3/2021,0.550645,0.570711,0.548183,0.567871,0.567871,3549650231
30/3/2021,0.567737,0.585903,0.563084,0.566859,0.566859,3831603058
31/3/2021,0.566833,0.579228,0.544746,0.573869,0.573869,4849764990
1/4/2021,0.573959,0.595817,0.559002,0.579292,0.579292,4725008531
2/4/2021,0.57936,0.617382,0.575203,0.616569,0.616569,5404854336
3/4/2021,0.616779,0.65335,0.587748,0.590915,0.590915,6757992981
4/4/2021,0.590909,0.646977,0.583013,0.646729,0.646729,4613898769
5/4/2021,0.646703,0.936855,0.633974,0.920473,0.920473,26415199263
6/4/2021,0.916918,1.117916,0.824408,1.096266,1.096266,36955175105
7/4/2021,1.097547,1.104488,0.869414,0.917576,0.917576,21942171678
8/4/2021,0.919055,1.072568,0.905627,1.052756,1.052756,12888349509
9/4/2021,1.053417,1.083159,0.986585,1.020837,1.020837,10235269531
10/4/2021,1.020282,1.389957,1.008636,1.374416,1.374416,25547794935
11/4/2021,1.372068,1.492072,1.308828,1.36053,1.36053,21224874412
12/4/2021,1.354004,1.470145,1.324077,1.467735,1.467735,13216559312
13/4/2021,1.47008,1.888439,1.423034,1.794001,1.794001,31123574741
14/4/2021,1.794248,1.964997,1.579077,1.839236,1.839236,29025829007
15/4/2021,1.736909,1.86547,1.66362,1.726063,1.726063,18854342656
